Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22/04/24,22336.9,22375.65,22198.15,22336.4,279259571,26841.2
23/04/24,22447.05,22447.55,22349.45,22368,231520813,25651.64
24/04/24,22421.55,22476.45,22384,22402.4,235898642,21925.6
25/04/24,22316.9,22625.95,22305.25,22570.35,475044740,53803.8
26/04/24,22620.4,22620.4,22385.55,22419.95,329887340,36984.89
29/04/24,22475.55,22655.8,22441.9,22643.4,291957361,32431.45
30/04/24,22679.65,22783.35,22568.4,22604.85,361859375,38741.7
02/05/24,22567.85,22710.5,22567.85,22648.2,445909456,43133.31
03/05/24,22766.35,22794.7,22348.05,22475.85,438060727,44432.55
06/05/24,22561.6,22588.8,22409.45,22442.7,320255789,33417.53
07/05/24,22489.75,22499.05,22232.05,22302.5,297815469,31512.26
08/05/24,22231.2,22368.65,22185.2,22302.5,277438692,29717.33
09/05/24,22224.8,22307.75,21932.4,21957.5,331327454,37870.88
10/05/24,21990.95,22131.3,21950.3,22055.2,265804411,28717.71
13/05/24,22027.95,22131.65,21821.05,22104.05,278186886,29036.08
14/05/24,22112.9,22270.05,22081.25,22217.85,230238941,23741.66
15/05/24,22255.6,22297.55,22151.75,22200.55,231935478,23815.79
16/05/24,22319.2,22432.25,22054.55,22403.85,368945092,38836.11
17/05/24,22415.25,22502.15,22345.65,22466.1,242654570,27388.67
18/05/24,22512.85,22520.25,22470.05,22502,19064566,1572.77
21/05/24,22404.55,22591.1,22404.55,22529.05,347591587,30782.35
22/05/24,22576.6,22629.5,22483.15,22597.8,290345590,28556.14
23/05/24,22614.1,22993.6,22577.45,22967.65,369767547,39157.65
24/05/24,22930.75,23026.4,22908,22957.1,261927120,27966.99
27/05/24,23038.95,23110.8,22871.2,22932.45,260006078,27204.54
28/05/24,22977.15,22998.55,22858.5,22888.15,217890750,23054.65
29/05/24,22762.75,22825.5,22685.45,22704.7,269932784,27549.09
30/05/24,22617.45,22705.75,22417,22488.65,373374457,32991.46
31/05/24,22568.1,22653.75,22465.1,22530.7,572122639,67040.32
03/06/24,23337.9,23338.7,23062.3,23263.9,569425569,56418.25
04/06/24,23179.5,23179.5,21281.45,21884.5,1006105058,93786.44
05/06/24,22128.35,22670.4,21791.95,22620.35,638487077,64326.85
06/06/24,22798.6,22910.15,22642.6,22821.4,480413289,49047.39
07/06/24,22821.85,23320.2,22789.05,23290.15,473554898,47621.54
10/06/24,23319.15,23411.9,23227.15,23259.2,304392368,29060.4
11/06/24,23283.75,23389.45,23206.65,23264.85,305185666,29190.91
12/06/24,23344.45,23441.95,23295.95,23322.95,295630910,31795.48
13/06/24,23480.95,23481.05,23353.9,23398.9,268279841,30151.67
14/06/24,23464.95,23490.4,23334.25,23465.6,223086741,25746.34
18/06/24,23570.8,23579.05,23499.7,23557.9,272207297,29389.75
19/06/24,23629.85,23664,23412.9,23516,328811255,39430.39
20/06/24,23586.15,23624,23442.6,23567,280336970,33390.07
21/06/24,23661.15,23667.1,23398.2,23501.1,609877803,70062.97
24/06/24,23382.3,23558.1,23350,23537.85,239358460,24862.37
25/06/24,23577.1,23754.15,23562.05,23721.3,298111025,34263.36
26/06/24,23723.1,23889.9,23670.45,23868.8,287824687,33979.62
27/06/24,23881.55,24087.45,23805.4,24044.5,515227010,61216.71
28/06/24,24085.9,24174,23985.8,24010.6,354779832,41242.87
01/07/24,23992.95,24164,23992.7,24141.95,242468081,28204.06
02/07/24,24228.75,24236.35,24056.4,24123.85,309629240,34838.65
03/07/24,24291.75,24309.15,24207.1,24286.5,289201551,36661.17
